u,v,dist
4994016141,4994016147,207.090453532
4994016147,4994016141,207.090453532
4979149921,4979142619,142.031100734
4979142619,4979149921,142.031100734
4978330499,4978330498,109.025824799
4978330498,4978330499,109.025824799
4976662802,6098934671,39.64337014
6098934671,4976662802,39.64337014
1364340406,7085598126,169.947318155
7085598126,1364340406,169.947318155
7085598126,1364340173,23.0393015026
1364340173,7085598126,23.0393015026
1364340173,4979126961,474.918618104
4979126961,1364340173,474.918618104
653997373,4890614290,79.7865681902
4890614290,653997373,79.7865681902
4890614290,4890614289,116.310291135
4890614289,4890614290,116.310291135
4890614289,4890614288,61.3578885763
4890614288,4890614289,61.3578885763
4977091217,4977091156,149.079376416
4977091156,4977091217,149.079376416
4977091156,4977091155,37.3139759315
4977091155,4977091156,37.3139759315
4977091155,4977091154,144.483442341
4977091154,4977091155,144.483442341
4977091154,4977091153,143.44938852
4977091153,4977091154,143.44938852
4977091153,4977091209,202.581690333
4977091209,4977091153,202.581690333
4977091209,4977091152,32.890692446
4977091152,4977091209,32.890692446
4977091152,4977091205,32.3503882313
4977091205,4977091152,32.3503882313
4977091205,4977091198,143.005532202
4977091198,4977091205,143.005532202
4977091198,4977091185,154.142113022
4977091185,4977091198,154.142113022
4977091185,4977091549,62.4266581817
4977091549,4977091185,62.4266581817
7113032926,7113032914,8.02075942117
7113032914,7113032917,7.97792848112
7113032917,7113032921,13.3411130426
7113032921,7113032922,2.66972134138
7113032922,7113032925,7.97354287105
7113032925,7113032926,2.66315051749
1364514061,1364513804,50.8944671957
1364513804,1364514061,50.8944671957
4976732257,4976732264,177.138004964
4976732264,4976732257,177.138004964
4976732264,4976732265,81.3560988079
4976732265,4976732264,81.3560988079
7085684077,7085684074,67.3934825986
7085684074,7085684077,67.3934825986
4989695350,4989695365,664.462808611
4989695365,4989695350,664.462808611
4989695365,4989788773,83.8557673768
4989788773,4989695365,83.8557673768
4989788773,4989695376,118.543181133
4989695376,4989788773,118.543181133
6205702058,6205702059,6.33206401281
6205702059,6205702058,6.33206401281
6205702059,653107362,171.346884492
653107362,6205702059,171.346884492
653107362,1425049660,196.918349061
1425049660,653107362,196.918349061
1425049660,1425049652,33.2267166111
1425049652,1425049660,33.2267166111
1425049652,6866097828,107.768277557
6866097828,1425049652,107.768277557
6866097828,653097078,33.1009001094
653097078,6866097828,33.1009001094
4976580971,1359194729,190.705664842
1359194729,4976580971,190.705664842
1359194729,1359194799,62.4517144572
1359194799,1359194729,62.4517144572
1359194799,4976615573,92.8897062137
4976615573,1359194799,92.8897062137
4976615573,1359194481,61.7111765421
1359194481,4976615573,61.7111765421
1359194481,1359194866,87.0167547329
1359194866,1359194481,87.0167547329
4977090397,4983830930,241.688629752
4983830930,4977090397,241.688629752
4976868443,4976868211,116.312187278
4976868211,4976868443,116.312187278
5498049202,4969276048,62.1342470337
4969276048,5498049202,62.1342470337
4969276048,4969276045,62.6105041233
4969276045,4969276048,62.6105041233
4972480216,4972480155,90.8169018115
4972480155,4972480216,90.8169018115
4890808060,4978933735,243.706595832
4978933735,4890808060,243.706595832
4979002436,4979032608,124.149665249
4979032608,4979002436,124.149665249
5253933849,5253933877,2129.71119522
5253933877,5253933849,2129.71119522
5253933877,5253933896,1506.65188729
5253933896,5253933877,1506.65188729
5253933896,5253841767,231.555016854
5253841767,5253933896,231.555016854
5253841767,5253933908,347.291407009
5253933908,5253841767,347.291407009
4976868853,4976868852,69.6007692709
4976868852,4976868853,69.6007692709
4976532002,4976532003,139.796265499
4976532003,4976532002,139.796265499
5622971366,2686216975,206.009384611
2686216975,5622971366,206.009384611
4892666048,4976467477,151.844526414
4976467477,4892666048,151.844526414
4992432682,4992432685,113.993790799
4992432685,4992432682,113.993790799
4977206339,4977206343,259.648476422
4977206343,4977206339,259.648476422
4979098627,4979098539,83.2056162868
4979098539,4979098627,83.2056162868
4979098539,4979098533,111.05975805
4979098533,4979098539,111.05975805
4976865320,4976865271,96.5211071938
4976865271,4976865320,96.5211071938
4976865271,4976865270,45.5179121237
4976865270,4976865271,45.5179121237
4976865270,4976865815,256.183810445
4976865815,4976865270,256.183810445
4976865815,4976865319,65.6341808017
4976865319,4976865815,65.6341808017
4976865319,4976865817,130.509138981
4976865817,4976865319,130.509138981
4976865817,4976862870,102.262894144
4976862870,4976865817,102.262894144
4976862870,4976865281,23.838568132
4976865281,4976862870,23.838568132
4976865281,4976865282,56.2969242103
4976865282,4976865281,56.2969242103
4976865282,4976865285,68.4753161158
4976865285,4976865282,68.4753161158
4976865285,4976865287,127.978066701
4976865287,4976865285,127.978066701
4976865287,4976865711,566.822286977
4976865711,4976865287,566.822286977
5517064116,5517064120,103.942215569
5517064120,5517064116,103.942215569
4972482233,4972482264,63.0346004012
4972482264,4972482233,63.0346004012
4972482264,4972482077,70.943319063
4972482077,4972482264,70.943319063
4972478796,4972478795,43.808284772
4972478795,4972478796,43.808284772
4972478795,4972478811,188.617789519
4972478811,4972478795,188.617789519
4976541118,4976541119,165.230818106
4976541119,4976541118,165.230818106
7123305945,7123305946,11.3675606681
7123305946,7123305945,11.3675606681
4978330448,4978330246,79.492345063
4978330246,4978330448,79.492345063
4978330246,4978330447,44.181946676
4978330447,4978330246,44.181946676
4978330447,4978330440,224.257372731
4978330440,4978330447,224.257372731
4978330440,4978330431,258.984130846
4978330431,4978330440,258.984130846
4978330431,4978330427,180.42805089
4978330427,4978330431,180.42805089
4978330427,4978330424,158.335383099
4978330424,4978330427,158.335383099
4978330424,4978330421,131.335488773
4978330421,4978330424,131.335488773
4977089671,4977089670,68.549504374
4977089670,4977089671,68.549504374
7053748497,7053748496,107.891270597
7053748496,7053748497,107.891270597
4892666188,4892666187,18.410408819
4892666187,4892666188,18.410408819
1364340305,4162107544,22.714986669
6880055815,6880055834,90.4896402314
6880055834,6880055833,96.5213318642
6880055833,6880055832,64.5406584071
6880055832,6880055827,181.7285898
4972481542,4972481357,133.38952478
4972481357,4972481542,133.38952478
4972481357,4972481217,21.2723861088
4972481217,4972481357,21.2723861088
4976865811,4976865807,87.350170228
4976865807,4976865811,87.350170228
4979123438,4979122927,154.851564833
4979122927,4979123438,154.851564833
4974642044,4975167303,65.1293428592
4975167303,4974642044,65.1293428592
4979152430,4979154079,32.1475656401
4979154079,4979152430,32.1475656401
5789291242,4978956314,248.77577934
4978956314,5789291242,248.77577934
5255443625,4976478354,75.9528755173
4976478354,5255443625,75.9528755173
4976478354,4976478356,168.06932941
4976478356,4976478354,168.06932941
4979093941,4979082156,216.932915252
4979082156,4979093941,216.932915252
1364608111,4976532230,83.6318800395
4976532230,1364608111,83.6318800395
4976532230,4890745880,105.883248084
4890745880,4976532230,105.883248084
4979167768,4979168818,65.6083286832
4979168818,4979167768,65.6083286832
4890808085,4977206338,205.915022985
4977206338,4890808085,205.915022985
4977206338,4977206312,79.8980195038
4977206312,4977206338,79.8980195038
4977206312,4977206307,70.5336979832
4977206307,4977206312,70.5336979832
4977206307,4977206305,47.3804048557
4977206305,4977206307,47.3804048557
4977206305,4977206303,130.952617304
4977206303,4977206305,130.952617304
4977206303,4977284862,176.214409355
4977284862,4977206303,176.214409355
4977284862,4977206302,219.216016691
4977206302,4977284862,219.216016691
4424514357,4989841293,21.0636756393
4989841293,4424514357,21.0636756393
4989841293,4989842794,18.7516135975
4989842794,4989841293,18.7516135975
4989842794,4989840013,147.184535142
4989840013,4989842794,147.184535142
4989840013,4989841225,96.6569129009
4989841225,4989840013,96.6569129009
4989841225,4424514414,69.171459159
4424514414,4989841225,69.171459159
4424514414,4424514423,57.3034225645
4424514423,4424514414,57.3034225645
4975237220,4975237221,76.3383699941
4975237221,4975237220,76.3383699941
4975237221,4975237247,523.718211284
4975237247,4975237221,523.718211284
4975237247,4975243418,12.368363185
4975243418,4975237247,12.368363185
4975243418,4975237246,33.5008594782
4975237246,4975243418,33.5008594782
4892666157,4892666116,132.000351911
4892666116,4892666157,132.000351911
4892666116,4892666112,59.6074176164
4892666112,4892666116,59.6074176164
4892666112,4892666109,70.5487024803
4892666109,4892666112,70.5487024803
4892666109,6714964143,29.8453359906
6714964143,4892666109,29.8453359906
6714964143,4892666096,390.600992639
4892666096,6714964143,390.600992639
4892666096,4892666088,306.352423175
4892666088,4892666096,306.352423175
4978893667,4978880545,62.4447783702
4978880545,4978893667,62.4447783702
4978880545,4978880543,73.6528058677
4978880543,4978880545,73.6528058677
4976869093,4976869092,101.115774819
4976869092,4976869093,101.115774819
5002447872,5002447881,400.531648534
5002447881,5002447872,400.531648534
1364588919,4976541529,140.075938572
4976541529,1364588919,140.075938572
566666211,3897025448,56.2646085215
4979047766,4979047764,25.0837577789
4979047764,4979047766,25.0837577789
4979047764,4979034796,35.4641562552
4979034796,4979047764,35.4641562552
4977206331,4977206334,213.012072021
4977206334,4977206331,213.012072021
4977206334,4977206338,272.622299129
4977206338,4977206334,272.622299129
5592600406,5592600416,262.228501517
5592600416,5592600406,262.228501517
5592600416,4892883424,50.3453575332
4892883424,5592600416,50.3453575332
4892883424,5592600415,61.2541116574
5592600415,4892883424,61.2541116574
4890614367,4890614364,134.934219904
4890614364,4890614367,134.934219904
4890614364,4890614368,91.7075392403
4890614368,4890614364,91.7075392403
4890614368,4890614363,7.0005124377
4890614363,4890614368,7.0005124377
6880586298,6880567681,204.180719732
6880567681,6880586298,204.180719732
4974547853,4974547855,130.053816463
4974547855,4974547853,130.053816463
4978881717,4978881497,24.1367313485
4978881497,4978881717,24.1367313485
4979124393,4979123984,180.742467492
4979123984,4979124393,180.742467492
4977206344,4977206343,38.9287077979
4977206343,4977206344,38.9287077979
4977206343,4977206345,29.7829833731
4977206345,4977206343,29.7829833731
4978993416,4979001689,221.552853131
4979001689,4978993416,221.552853131
2344049404,4979149415,78.0380643276
4979149415,2344049404,78.0380643276
4979149415,4979149946,38.0662981051
4979149946,4979149415,38.0662981051
4976865797,4976865796,66.3931981696
4976865796,4976865797,66.3931981696
4979103207,4979103417,262.418374498
4979103417,4979103207,262.418374498
4977214484,4977214487,109.381593085
4977214487,4977214484,109.381593085
4974707448,6707408182,81.8326003565
6707408182,4079923066,27.4738983198
4079923066,4974710949,79.6394812474
4974710949,6707408184,72.6945223013
6707408184,6709182957,222.444263444
6709182957,653996638,28.4690874329
653996638,653996632,134.798358691
653996632,653996627,67.542940868
653996627,4974640801,25.3349274248
4974640801,6880960832,281.547676529
6880960832,1364588909,274.059145906
1364588909,4974537487,142.395093711
4974537487,653996610,163.294154677
653996610,4079922159,434.305898622
4079922159,4079922156,17.9115226893
4972480948,4972480769,78.8258570149
4972480769,4972480948,78.8258570149
1380069193,5002447891,66.4004857922
5002447891,1380069193,66.4004857922
5002447891,4989695107,540.873418686
4989695107,5002447891,540.873418686
4989695107,5002447848,43.8478879722
5002447848,4989695107,43.8478879722
5002447848,4989788761,213.943285869
4989788761,5002447848,213.943285869
4989788761,4991679422,429.450356044
4991679422,4989788761,429.450356044
4991679422,4989695110,22.7931941156
4989695110,4991679422,22.7931941156
4989695110,5002446724,764.125477933
5002446724,4989695110,764.125477933
5002446724,4989788735,6.83207856624
4989788735,5002446724,6.83207856624
4989788735,4989788743,349.404775357
4989788743,4989788735,349.404775357
4989788743,5002446734,698.911240695
5002446734,4989788743,698.911240695
5002446734,4989757233,210.593549877
4989757233,5002446734,210.593549877
4989757233,4989873541,203.458584292
4989873541,4989757233,203.458584292
4977089813,4977089811,63.5639270176
4977089811,4977089813,63.5639270176
4977089811,4977089812,28.346942821
4977089812,4977089811,28.346942821
4979112292,4979112291,51.4978699575
4979112291,4979112292,51.4978699575
1364588947,5496176948,98.1541563076
5496176948,1364588947,98.1541563076
5496176948,7071474129,306.939614246
7071474129,5496176948,306.939614246
4977206237,4977206269,174.053243654
4977206269,4977206237,174.053243654
4978913230,4978913822,122.320070716
4978913822,4978913230,122.320070716
7087318700,7087318686,223.14069598
7087318686,7087318700,223.14069598
1359194648,4722087893,46.511107
4722087893,1359194648,46.511107
4722087893,4976595347,182.100869491
4976595347,4722087893,182.100869491
4976595347,4976580968,10.8655600549
4976580968,4976595347,10.8655600549
1698296714,653109528,121.109695283
653109528,1698296714,121.109695283
4890808042,4978933474,428.290913725
4978933474,4890808042,428.290913725
4424514436,4424514481,216.696577677
4424514481,4424514436,216.696577677
4424514481,4989515195,71.6422257382
4989515195,4424514481,71.6422257382
4989515195,4989515162,137.714600978
4989515162,4989515195,137.714600978
4989515162,4424514523,57.0489735263
4424514523,4989515162,57.0489735263
4424514523,4989515165,177.186041968
4989515165,4424514523,177.186041968
4989515165,4989515166,286.802350673
4989515166,4989515165,286.802350673
4989515166,1380068757,83.4960673497
1380068757,4989515166,83.4960673497
4983829510,4983818851,388.09905231
4983818851,4983829510,388.09905231
5445030343,5445030344,22.5143144622
5445030344,5445030345,60.2582521335
5517078319,5517092582,100.874807318
5517092582,5517078319,100.874807318
4976869063,4976869062,30.8953835772
4976869062,4976869063,30.8953835772
4976865897,4976865891,86.0111160732
4976865891,4976865897,86.0111160732
4976747193,4976747196,140.691885342
4976747196,4976747193,140.691885342
566646170,4982716471,129.894597214
4982716471,2328418250,176.852555189
4890614265,4890614287,33.6895046475
4890614287,4890614265,33.6895046475
4890808151,4890808136,355.021898897
4890808136,4890808151,355.021898897
4975025438,4975025443,57.4603853234
4975025443,4975025438,57.4603853234
4978332175,4978332172,71.77326484
4978332172,4978332175,71.77326484
4978932998,4978929136,105.271711151
4978929136,4978932998,105.271711151
4890808024,4978933516,32.6706706836
4978933516,4890808024,32.6706706836
1364340568,1364340249,79.2828140111
1364340249,1364340568,79.2828140111
1364340249,1364340887,122.866661503
1364340887,1364340249,122.866661503
1364340887,1364340777,206.210047071
1364340777,1364340887,206.210047071
4890779441,4890779439,81.1717614906
4890779439,4890779441,81.1717614906
4890779439,4976478340,51.314405287
4976478340,4890779439,51.314405287
4976478340,4890779438,8.00529822735
4890779438,4976478340,8.00529822735
4890779438,4976478341,60.7657016737
4976478341,4890779438,60.7657016737
4976478341,4890779437,39.6765219117
4890779437,4976478341,39.6765219117
4890779437,4976478350,36.4008709338
4976478350,4890779437,36.4008709338
4976478350,4976545968,30.1897688044
4976545968,4976478350,30.1897688044
4976545968,4890779434,181.34970988
4890779434,4976545968,181.34970988
4890779434,4976494469,6.07970231712
4976494469,4890779434,6.07970231712
4976494469,4890779433,65.063800539
4890779433,4976494469,65.063800539
4978982429,4978982428,32.449112999
4978982428,4978982429,32.449112999
7058852254,4978970141,512.873956837
4978970141,7058852254,512.873956837
5592421269,5592421275,253.730550255
5592421275,5592421269,253.730550255
7071529847,7071529844,15.647647634
7071529844,7071529847,15.647647634
5254025882,5592421276,224.478115011
5592421276,5254025882,224.478115011
5592421276,5254025911,383.070589002
5254025911,5592421276,383.070589002
4969276049,4969276048,60.3295861802
4969276048,4969276049,60.3295861802
4969276048,4969276047,58.2140439199
4969276047,4969276048,58.2140439199
4978894394,4978885815,58.241327389
4978885815,4978894394,58.241327389
4978885815,4890745875,25.5758359503
4890745875,4978885815,25.5758359503
4978922813,4978923652,58.6298569254
4978923652,4978922813,58.6298569254
4976867020,4976867019,54.3829791336
4976867019,4976867020,54.3829791336
4978933767,4978929138,42.9474168916
4978929138,4978933767,42.9474168916
6880586309,6880586286,47.5738923565
6880586286,6880586309,47.5738923565
4989695080,4989695081,83.4164036874
4989695081,4989695080,83.4164036874
4976868980,4976868958,76.2424530951
4976868958,4976868980,76.2424530951
5789580657,4978913825,5.899778116
4978913825,5789580657,5.899778116
4978913825,4978917919,32.6125153446
4978917919,4978913825,32.6125153446
4978917919,4978917925,55.6344494315
4978917925,4978917919,55.6344494315
4989788762,4989788756,327.476048249
4989788756,4989788762,327.476048249
5253866604,5253866631,1243.82321985
5253866631,5253866604,1243.82321985
5253866631,5253866637,188.126411334
5253866637,5253866631,188.126411334
4989695108,4989695109,111.349878812
4989695109,4989695108,111.349878812
5498041659,4976601018,9.52277170826
4976601018,5498041659,9.52277170826
4976601018,4976600979,356.282034526
4976600979,4976601018,356.282034526
4976600979,4976600983,133.537780132
4976600983,4976600979,133.537780132
6975597509,6975597502,281.530486839
6975597502,6975597509,281.530486839
6975597502,6975597499,124.305648558
6975597499,6975597502,124.305648558
6970904304,6970904303,53.9777602941
6970904303,6970904304,53.9777602941
